chemical_name,smiles,database_id,cas,odor_data,odor_labels_filtered
Caryophyllene oxide,C=C1CCC2OC2(C)CCC2C1CC2(C)C,408,1139-30-6,"Dry, woody, faint cedar, tobacco like notes","['woody', 'tobacco', 'dry']"
Caryophyllene,C=C1CC/C=C(\C)CC[C@@H]2[C@@H]1CC2(C)C,409,87-44-5,"Woody, spicy, dry odor; spicy, woody, with citrus undernote taste","['woody', 'spicy', 'dry']"
Catechol,Oc1ccccc1O,410,120-80-9,"Mild, phenolic, burnt notes","['phenolic', 'burnt']"
Cedrene,CC1=CC[C@@]23C[C@@H]1C(C)(C)[C@@H]2CC[C@@H]3C,411,35944-22-0,Sweet dry tea peculiar fatty woody odor,"['fatty', 'tea', 'woody', 'sweet', 'dry']"
Cedrene,C=C1CC[C@@]23C[C@@H]1C(C)(C)[C@@H]2CC[C@H]3C,412,546-28-1,"Sweet, fatty, woody","['woody', 'fatty', 'sweet']"
Cedrene,CC1=CC[C@@]23CC1C(C)(C)[C@@H]2CC[C@H]3C,413,469-61-4,Sweet dry tea peculiar fatty woody odor,"['fatty', 'tea', 'woody', 'sweet', 'dry']"
Cedrenol,C=C1C(O)CC23CC1C(C)(C)C2CCC3C,414,28231-03-0,Characteristic cedar wood odor,['woody']
Cedrol,C[C@@H]1CC[C@H]2C(C)(C)[C@H]3C[C@]21CC[C@@]3(C)O,416,77-53-2,"Woody, clean cedar note",['woody']
Cedryl acetate,CC(=O)OC1(C)CCC23CC1C(C)(C)[C@@H]2CC[C@H]3C,417,77-54-3,"Woody, cedar, vetivert, slight leathery & earthy note","['leathery', 'earthy', 'woody']"
Celery ketone,CCCC1CC(=O)C=C(C)C1,418,3720-16-9,"Herbaceous, spicy-celery notes; ""brothy"" celery-like taste","['spicy', 'herbal']"
Chavicol,C=CCc1ccc(O)cc1,419,501-92-8,Tarry-medicinal phenolic sicy smoky odor,"['spicy', 'smoky', 'phenolic', 'medicinal']"
Cineole,CC(C)C12CCC(C)(CC1)O2,420,470-67-7,Fresh pine camphoraceous odor,"['pine', 'fresh', 'camphoreous']"
Cinnamaldehyde ethylene glycol acetal,C(=C/C1OCCO1)\c1ccccc1,421,5660-60-6,"Pleasant, spicy, sweet, cinnamon-like; cinnamon-allspice taste","['cinnamon', 'spicy', 'sweet']"
Cinnamaldehyde,O=C/C=C/c1ccccc1,422,104-55-2,"Spicy, cinnamon-cassia-like with sweet warm (hot) taste","['cinnamon', 'spicy']"
Cinnamic acid,O=C(O)/C=C/c1ccccc1,423,621-82-9,"Very faint balsamic odor; sweet burning, somewhat cinnamic  taste",['balsamic']
Cinnamyl acetate,CC(=O)OC/C=C/c1ccccc1,424,103-54-8,"Sweet, balsamic, floral-fruity odor; slightly cinnamic spicy","['spicy', 'fruity', 'cinnamon', 'balsamic', 'floral', 'sweet']"
Cinnamyl alcohol,OC/C=C\c1ccccc1,425,104-54-1,"Balsamic, sweet with floral & spicy nuances odor and taste","['balsamic', 'floral', 'sweet', 'spicy']"
Cinnamyl anthranilate,Nc1ccccc1C(=O)OC/C=C/c1ccccc1,426,87-29-6,"Tenacious, fruity, floral odor reminiscent of grape","['fruity', 'grape', 'floral']"
Cinnamyl benzoate,O=C(OC/C=C/c1ccccc1)c1ccccc1,427,5320-75-2,"Balsamic, sweet, slightly spicy","['balsamic', 'sweet', 'spicy']"
Cinnamyl butyrate,CCCC(=O)OC/C=C/c1ccccc1,428,103-61-7,"Fruity, balsamic, slight floral odor; sweet honey-like taste","['fruity', 'balsamic', 'floral']"
Cinnamyl cinnamate,O=C(/C=C/c1ccccc1)OC/C=C/c1ccccc1,429,122-69-0,"Sweet, balsamic, floral with some cinnamic-spicy notes","['spicy', 'cinnamon', 'balsamic', 'floral', 'sweet']"
Cinnamyl formate,O=COC/C=C/c1ccccc1,430,104-65-4,"Balsamic, herbaceous, fruity (apple) with slight bitterness","['apple', 'fruity', 'herbal', 'balsamic']"
Cinnamyl isobutyrate,CC(C)C(=O)OC/C=C/c1ccccc1,431,103-59-3,"Fruity, balsamic-spicy, sweet taste; plum, pineapple, apple, banana notes","['pineapple', 'apple', 'plum', 'banana']"
Cinnamyl isovalerate,CC(C)CC(=O)OC/C=C/c1ccccc1,432,140-27-2,"Herbaceous-green, floral, rose-like odor; apple-like taste","['green', 'floral', 'rose', 'herbal']"
Cinnamyl phenylacetate,O=C(Cc1ccccc1)OC/C=C/c1ccccc1,433,7492-65-1,"Sweet, balsum-honey-floral odor and a spicy, honey-like taste","['honey', 'balsamic', 'floral', 'sweet']"
Cinnamyl propionate,CCC(=O)OC/C=C/c1ccccc1,434,103-56-0,"Spicy, fruity, balsamic, rosy-floral odor; sweet floral mixed-fruity taste","['spicy', 'rose', 'fruity', 'balsamic', 'floral']"
Cinnamyl tiglate,C/C=C(\C)C(=O)OC/C=C/c1ccccc1,435,61792-12-9,Sweet floral-herbaceous balsamic odor,"['balsamic', 'floral', 'sweet', 'herbal']"
Citral diethyl acetal,CCOC(/C=C(\C)CCC=C(C)C)OCC,436,7492-66-2,"Fresh, green, citrusy aroma; oily citrus peel like flavor","['green', 'fresh', 'citrus']"
Citral dimethyl acetal,COC(/C=C(\C)CCC=C(C)C)OC,437,7549-37-3,Citrus lemon aroma; green-unripe citrus taste,"['lemon', 'citrus']"
Citral propylene glycol acetal,CC(C)=CCC/C(C)=C/C1OCC(C)O1,438,10444-50-5,"Sweet, citrus lemon-like","['lemon', 'sweet', 'citrus']"
Citral,CC(C)=CCC/C(C)=C/C=O,439,5392-40-5,"Strong, lemon-like aroma and taste","['fruity', 'fresh', 'lemon', 'citrus']"
Citric acid,O=C(O)CC(O)(CC(=O)O)C(=O)O,440,77-92-9,"Odorless with a clean, acid, tart taste",['odorless']
Citronellal diethyl acetal,CCOC(CC(C)CCC=C(C)C)OCC,441,71662-17-4,Faint lemony green with fatty notes,"['green', 'fatty', 'lemon']"
Citronellal,CC(C)=CCC[C@@H](C)CC=O,442,106-23-0,"Fresh,  green, citrus-lemon, woody; citronella oil-like","['citrus', 'green', 'fresh', 'lemon', 'woody']"
Citronellol,CC(C)=CCC[C@@H](C)CCO,443,106-22-9,Rose-like odor and taste,['rose']
Citronellol,CC(C)=CCC[C@H](C)CCO,444,7540-51-4,"Floral, rose, sweet, green with fruity citrus nuances","['rose', 'citrus', 'green', 'fruity', 'floral', 'sweet']"
Citronellol,C=C(C)CCC[C@H](C)CCO,445,6812-78-8,"Floral, rose notes, See Rhodinol","['rose', 'citrus', 'waxy', 'floral', 'sweet']"
Citronellyl acetate,CC(=O)OCCC(C)CCC=C(C)C,446,150-84-5,"Fresh, rosy, fruity odor; green fruity citrus-pear-apple-apricot taste","['fruity', 'fresh', 'rose']"
Citronellyl butyrate,CCCC(=O)OCCC(C)CCC=C(C)C,447,141-16-2,"Fruity, sweet, rosy, leafy; apple and plum like notes","['apple', 'rose', 'fruity', 'leafy', 'plum', 'sweet']"
Citronellyl decanoate,CCCCCCCCCC(=O)OCCC(C)CCC=C(C)C,448,72934-06-6,Nearly odorless; Delicate floral waxy with rose undertone,"['rose', 'odorless', 'waxy', 'floral']"
Citronellyl dodecanoate,CCCCCCCCCCCC(=O)OCCC(C)CCC=C(C)C,449,72934-07-7,Nearly odorless; Floral waxy,"['waxy', 'floral', 'odorless']"
Citronellyl formate,CC(C)=CCCC(C)CCOC=O,450,105-85-1,"Strong, leafy-green, fruity, rose odor; sweet, green-fruity taste","['leafy', 'fruity', 'green', 'rose']"
Citronellyl hexanoate,CCCCCC(=O)OCCC(C)CCC=C(C)C,451,10580-25-3,"Floral, apple-pear-pineapple fruity notes with rose connotations","['apple', 'rose', 'fruity', 'pear', 'pineapple', 'floral']"
Citronellyl isobutyrate,CC(C)=CCCC(C)CCOC(=O)C(C)C,452,97-89-2,"Sweet, fruity, rose-like with citrus-apricot-tropical taste","['fruity', 'rose', 'sweet']"
Citronellyl isovalerate,CC(C)=CCCC(C)CCOC(=O)CC(C)C,453,68922-10-1,"Warm-rosy, herbaceous, chamomile-like, tobacco-like odor","['rose', 'tobacco', 'warm', 'herbal', 'chamomile']"
Citronellyloxyacetaldehyde,CC(C)=CCCC(C)CCOCC=O,454,7492-67-3,"Strong, floral, rose, lily-muguet-like, ozonic, melon, citrus notes","['rose', 'citrus', 'melon', 'floral']"
Citronellyl phenylacetate,CC(C)=CCCC(C)CCOC(=O)Cc1ccccc1,455,139-70-8,"Sweet, heavy, honey-rose odor; waxy undertone","['honey', 'rose', 'waxy', 'sweet']"
Citronellyl propionate,CCC(=O)OCCC(C)CCC=C(C)C,456,141-14-0,"Sweet fruity rose odor; bittersweet, floral-green-citrus-plum-like taste","['fruity', 'rose', 'sweet']"
Citronellyl tiglate,C/C=C(\C)C(=O)OCCC(C)CCC=C(C)C,457,24717-85-9,"Leafy, rose, geranium notes","['leafy', 'rose']"
Citronellyl valerate,CCCCC(=O)OCCC(C)CCC=C(C)C,458,7540-53-6,"Fruity, herbaceous, honey-like odor with weak rose note","['honey', 'fruity', 'rose', 'herbal']"
Cresol,Cc1ccccc1O,459,95-48-7,"Phenolic, medicinal odor and taste","['phenolic', 'medicinal']"
Cresol,Cc1cccc(O)c1,460,108-39-4,"Dry-tarry, medicinal-phenolic, leathery odor","['leathery', 'phenolic', 'medicinal', 'dry']"
Cresol,Cc1ccc(O)cc1,461,106-44-5,"Tarry, smoky, phenol-medicinal, animal-like character","['animal', 'phenolic', 'smoky', 'medicinal']"
Cryptone,CC(C)C1C=CC(=O)CC1,463,500-02-7,Fresh minty herbaceous woody ketonic odor,"['ketonic', 'fresh', 'herbal', 'woody', 'mint']"
Cubebene,C=C1CC[C@]23[C@H]1[C@H]2[C@H](C(C)C)CC[C@H]3C,464,13744-15-5,"Geen, fruity,citrus, herbal, somewhat woody","['citrus', 'green', 'fruity', 'herbal', 'woody']"
Cuminaldehyde,CC(C)c1ccc(C=O)cc1,465,122-03-2,"Pungent, green, herbaceous, characteristic cumin-like odor and taste","['green', 'pungent', 'herbal']"
Cuminyl acetate,CC(=O)OCc1ccc(C(C)C)cc1,466,59230-57-8,"Refreshing, sweet herbaceous fruity with bergamot notes","['fruity', 'fresh', 'herbal', 'sweet']"
Cyclocitral,CC1=CCCC(C)(C)C1C=O,468,432-24-6,"Grassy floral herbaceous hay-like odor, citrus connotation","['grassy', 'hay', 'citrus', 'herbal', 'floral']"
Cyclocitral,CC1=C(C=O)C(C)(C)CCC1,469,432-25-7,"Sweet, mild green, grassy floral hay-like, minty, slightly fruity odor","['grassy', 'hay', 'green', 'fruity', 'floral', 'sweet', 'mint']"
Civetone,O=C1CCCCCCC/C=C\CCCCCCC1,471,542-46-1,"Sweet, animal, musky odor; sweet musky taste","['musk', 'sweet', 'animal']"
Cyclohexaneacetic acid,O=C(O)CC1CCCCC1,472,5292-21-7,"Waxy, phenylacetic acid-like, cheese butter honey caramellic notes","['caramellic', 'cheesy', 'honey', 'waxy', 'buttery']"
Cyclohexanecarboxylic acid,O=C(O)C1CCCCC1,473,98-89-5,"Fruity, cheese like odor (See comments)","['fruity', 'cheesy']"
Cyclohexaneethyl acetate,CC(=O)OCCC1CCCCC1,474,21722-83-8,"Strong, sweet, minty, rose, fruity odor; fruity-berry flavor","['fruity', 'rose', 'sweet', 'mint']"
Cyclohexanethiol,SC1CCCCC1,475,1569-69-3,"Onion, garlic, horseradish, meaty, eggy, cooked vegetable notes","['meaty', 'garlic', 'onion', 'horseradish', 'vegetable']"
Cyclohexanol,OC1CCCCC1,476,108-93-0,Fermented & yeasty with minty-camphaceous notes,"['fermented', 'camphoreous', 'mint']"
Cyclohexanone,O=C1CCCCC1,477,108-94-1,"Sweet ketonic solvent-like, somewhat minty-camphoraceous odor","['ketonic', 'solvent', 'camphoreous', 'sweet', 'mint']"
Cyclohexyl acetate,CC(=O)OC1CCCCC1,478,622-45-7,"Sweet, fruity-banana-apple, solvent odor & taste","['apple', 'solvent', 'fruity', 'banana', 'sweet']"
Cyclohexyl anthranilate,Nc1ccccc1C(=O)OC1CCCCC1,479,7779-16-0,"Faint, fruity, fatty, orange blossom-floral grape note","['fruity', 'fatty', 'grape', 'orange', 'floral']"
Cyclohexyl butyrate,CCCC(=O)OC1CCCCC1,480,1551-44-6,"Fresh, floral, sweet, fruity odor; Balsamic, ripe fruity, berry-like,taste","['fruity', 'fresh', 'floral', 'sweet']"
Cyclohexyl caproate,CCCCCC(=O)OC1CCCCC1,481,10/3/6243,"Fruity, winey, pineapple, somewhat metallic odor","['fruity', 'winey', 'pineapple', 'metallic']"
Cyclohexyl cinnamate,O=C(/C=C/c1ccccc1)OC1CCCCC1,482,7779-17-1,"Sweet, balsamic, fruity, cherry-almond like notes","['fruity', 'almond', 'balsamic', 'cherry', 'sweet']"
Cyclohexyl formate,O=COC1CCCCC1,483,4351-54-6,"Sweet, fruity odor and a sweet geen-banana fruit taste","['fruity', 'sweet']"
Cyclohexyl isobutyrate,CC(C)C(=O)OC1CCCCC1,484,1129-47-1,"Sweet fruity amyl acetate like note, apple-banana notes","['apple', 'fruity', 'banana', 'sweet']"
Cyclohexyl isovalerate,CC(C)CC(=O)OC1CCCCC1,485,7774-44-9,"Fruity, with apple-banana-berry like notes","['fruity', 'apple', 'banana', 'berry']"
Cyclohexyl propionate,CCC(=O)OC1CCCCC1,486,6222-35-1,"Sweet, fruity odor; banana, green-waxy pineapple notes","['green', 'fruity', 'banana', 'waxy', 'pineapple', 'sweet']"
Cyclohexylethanol,OCCC1CCCCC1,487,4442-79-9,Clean floral note in the lilac/lily family with a icy dewy freshness,"['fresh', 'floral']"
Cyclohexylmethylpyrazine,c1cnc(CC2CCCCC2)cn1,488,28217-92-7,"Green, somewhat earthy-musty, nutty, cocoa","['green', 'earthy', 'nutty', 'cocoa', 'musty']"
Cycloionone,CC1=CC=C2C(C)(C)CCCC2(C)O1,489,5552-30-7,"Fruity, berry, orris, sweet, floral, and woody odor & taste","['fruity', 'berry', 'orris', 'woody', 'floral', 'sweet']"
Cyclopentanethiol,SC1CCCC1,490,1679-07-8,"Onion, garlic, horseradish, meat, egg, burnt vegetable notes","['meaty', 'garlic', 'onion', 'burnt', 'horseradish', 'vegetable']"
Cyclopentanol,OC1CCCC1,491,96-41-3,"Ethereal, fusel-fermented solvent notes","['fermented', 'alcoholic', 'solvent', 'ethereal']"
Cyclopentanone,O=C1CCCC1,492,120-92-3,"Diffusive, ketonic, toasted, nutty, woody, musty notes","['ketonic', 'nutty', 'woody', 'musty']"
Cyclotetradecanone,O=C1CCCCCCCCCCCCC1,493,3603-99-4,Musky notes,['musk']
Cymene,Cc1ccc(C(C)C)cc1,494,99-87-6,"Strong, characteristic, terpene odor; citrusy (See comments)",['citrus']
Cymenol,Cc1ccc(C(C)(C)O)cc1,495,1197-01-9,"Herbaceous-celery, cherry nut like odor; walnut bready taste","['nutty', 'cherry', 'herbal']"
Cysteine,NC(CS)C(=O)O,496,52-90-4,Odorless; sour taste; used in reaction flavors for meat,['odorless']
Damascenone,C/C=C/C(=O)C1=C(C)C=CCC1(C)C,500,23696-85-7,"Fruity-floral with apple-plum-raisin-pune, tea, rose, tobacco notes","['apple', 'rose', 'fruity', 'tobacco', 'plum', 'tea', 'floral']"
Damascone,C/C=C/C(=O)C1C(C)=CCCC1(C)C,501,43052-87-5,"Odour of rose, apple, blackurrant and mint with a rich plum undertone","['apple', 'rose', 'black currant', 'plum', 'mint']"
Damascone,C/C=C\C(=O)C1=C(C)CCCC1(C)C,504,23726-92-3,"Complex odour of blackcurrant, plum, rose, honey and tobacco.","['rose', 'tobacco', 'plum', 'honey', 'black currant']"
Damascone,C/C=C/C(=O)C1=C(C)CCCC1(C)C,505,23726-91-2,"Complex odour of blackcurrant, plum, rose, honey and tobacco.","['rose', 'tobacco', 'plum', 'honey', 'black currant']"
Damascone,C/C=C/C(=O)C1C(C)C=CCC1(C)C,506,57378-68-4,"Rosy, fruity (black currant) odor (See comments)","['black currant', 'fruity', 'rose']"
Decadienal,CCCCC/C=C/C=C/C=O,507,25152-84-5,"Strong, deep chicken  fat flavor; fatty-citrus notes","['fatty', 'citrus']"
Decadienol,CCCCC/C=C/C=C/CO,508,18409-21-7,"Strong fatty, chicken and lard-like, rich fatty mouth feel","['fatty', 'chicken']"
Decadienol,CCCCCCC/C=C/C=C/CO,509,18485-38-6,"Strong fatty, chicken and lard-like, rich fatty mouth feel","['fatty', 'chicken']"
Decalactone,CCCCCC1CCCC(=O)O1,510,705-86-2,"Sweet, creamy, milky, peach, nut; peach, buttery in dilution","['creamy', 'milky', 'nutty', 'peach', 'sweet', 'buttery']"
Decalactone,CCCCC1CCCCC(=O)O1,511,5579-78-2,"Caramellic, fruity, coconut, nutty, milky odor and taste","['caramellic', 'fruity', 'nutty', 'milky', 'coconut']"
Decalactone,CCCCCCC1CCC(=O)O1,512,706-14-9,"Coconut-peach like odor; in dilution, peach taste","['peach', 'coconut']"
Decanal diethyl acetal,CCCCCCCCCC(OCC)OCC,513,34764-02-8,"Fresh citrusy, herbal-oily-fruity, fatty-waxy, ethereal rum note","['citrus', 'ethereal', 'oily', 'fruity', 'fatty', 'fresh', 'waxy', 'herbal', 'rum']"
Decanal dimethyl acetal,CCCCCCCCCC(OC)OC,514,7779-41-1,"Citrus, fatty-waxy-orange notes; Green, fruity,","['citrus', 'green', 'fatty', 'fruity', 'waxy', 'orange']"
Decanal,CCCCCCCCCC=O,515,112-31-2,"Strong, penetrating, sweet, waxy, orange peel odor; citrus taste","['waxy', 'sweet', 'orange']"
Decanoic acid,CCCCCCCCCC(=O)O,516,334-48-5,"Fatty-waxy, cheesy dairy odor and taste","['fatty', 'waxy', 'dairy', 'cheesy']"
Decanol,CCCCCCCCCCO,517,112-30-1,"Sweet, fatty, oily, waxy, floral notes; fatty, orange-like taste","['oily', 'fatty', 'waxy', 'floral', 'sweet']"
Decanol,CCCCCCCC(O)CC,518,1565-81-7,"Oily-fatty-waxy, orange, mushroom, musty odor","['oily', 'fatty', 'waxy', 'orange', 'musty', 'mushroom']"
Decanone,CCCCCCCCC(C)=O,519,693-54-9,"Orange-like, floral odor; blue cheese fatty, waxy, dairy creamy flavor","['floral', 'orange']"
Decanone,CCCCCCCC(=O)CC,520,928-80-3,"Waxy, fatty, fruity, foral-green-citrus, orange","['citrus', 'green', 'fatty', 'fruity', 'waxy', 'orange', 'floral']"
Decatrienal,CCCC=CC=CC=CC=O,521,51325-37-2,"Cod liver oil note; Oily, Fatty, fishy; adds mandarin notes to citrus","['citrus', 'oily', 'fishy', 'fatty']"
Decatrienal,CC/C=C\C/C=C/C=C/C=O,522,66642-86-2,Contributes to fatty flavors & fish flavors; adds mandarin notes to citrus,"['fatty', 'fishy']"
Decenal,CCCCCCC/C=C\C=O,523,3913-71-1,"Strong, waxy, fatty, orange peel like odor; fatty flavor notes","['fatty', 'waxy', 'orange']"
Decenal,CCCCCC=CCCC=O,524,30390-50-2,"Strong, fresh, citrus-orange-flower like odor; fruity, floral","['citrus', 'fruity', 'fresh', 'orange', 'floral']"
Decenal,C=CCCCCCCCC=O,525,39770-05-3,"Fresh, green citrus, floral, rose, fatty,","['rose', 'citrus', 'green', 'fatty', 'fresh', 'floral']"
Decenal,CCC/C=C/C=C/CCCO,526,21662-09-9,"Diffusive, powerful, citrus-orange, cardamom, rancid, waxy-floral odor","['citrus', 'waxy', 'orange', 'floral']"
Decenal,CCCCCCC/C=C/C=O,527,3913-81-3,"Waxy, fatty, earthy, coriander, mushroom, green, pork & chicken fat notes","['green', 'earthy', 'fatty', 'chicken', 'waxy', 'mushroom']"
Decenal,CCCCC/C=C/CCC=O,528,65405-70-1,"Fresh, fruity, citrus-orange","['fruity', 'fresh', 'orange', 'citrus']"
Decenoic acid,CCCCCCC/C=C\C(=O)O,530,3913-85-7,"Waxy-fatty odor; fruity (waxy, sweet, peach-orange) at 5ppm","['fatty', 'fruity', 'waxy', 'orange', 'peach', 'sweet']"
Decenoic acid,CCCCCC/C=C/CC(=O)O,531,15469-77-9,"Waxy, fatty, oily, somewhat fruity-green","['green', 'oily', 'fatty', 'fruity', 'waxy']"
Decenoic acid,CCCCC/C=C/CCC(=O)O,532,26303-90-2,"Oily, fatty, meaty, savory notes","['oily', 'fatty', 'meaty', 'savory']"
Decenoic acid,C=CCCCCCCCC(=O)O,534,14436-32-9,"Waxy, fatty, creamy, slight fruity, milky, cream cheese","['creamy', 'fatty', 'fruity', 'milky', 'waxy', 'cheesy']"
Decenol,C=CC(O)CCCCCCC,535,51100-54-0,"Earthy, fungal, mushroom, some citrus, waxy dairy cheese nuances","['citrus', 'earthy', 'waxy', 'dairy', 'mushroom', 'cheesy']"
Decenol,CCCCCCCC=CCO,536,22104-80-9,"Mild, fatty, waxy citrusy-floralodor","['rose', 'citrus', 'fatty', 'waxy', 'floral']"
Decenol,C=CCCCCCCCCO,537,13019-22-2,"Waxy, fresh, dewy, aldehydic, rosy odor","['rose', 'fresh', 'aldehydic', 'waxy']"
Decenolide,CCCCCCC1C=CC(=O)O1,538,2518-53-8,"Mushroom, lactonic, coconut-dairy","['dairy', 'coconut', 'mushroom']"
Decenolactone,CCC=CCCC1CCC(=O)O1,539,67114-38-9,"Fruity-flowery-green, creamy, sweet, juicy, peach/tropical notes","['creamy', 'green', 'fruity', 'tropical', 'peach', 'floral', 'sweet']"
Decenolactone,CC/C=C\CCC1CCC(=O)O1,540,63095-33-0,"Fruity-flowery-green, creamy, sweet, juicy, peach/tropical notes","['creamy', 'green', 'fruity', 'tropical', 'peach', 'floral', 'sweet']"
Decenolactone,C/C=C/CCC1CCCC(=O)O1,541,32764-98-0,"Oily, fruity, floral (petal-like) with apricot-peach notes","['apricot', 'oily', 'fruity', 'peach', 'floral']"
Decenone,CCCCCC/C=C/C(C)=O,542,10519-33-2,"Green, fruity, fatty-waxy, jasmine, slight butterry, savory chicken notes","['green', 'fruity', 'fatty', 'savory', 'chicken', 'waxy', 'jasmine', 'buttery']"
Decenyl acetate,C=CCCCCCCCCOC(C)=O,543,50816-18-7,"Waxy, rose-petal, ambrette seed effect","['rose', 'waxy']"
Decyl acetate,CCCCCCCCCCOC(C)=O,544,112-17-4,"Fatty, fruity, orange-rose aroma; in dilution, pineapple note","['rose', 'fatty', 'fruity', 'orange', 'pineapple']"
Decyl butyrate,CCCCCCCCCCOC(=O)CCC,545,9/1/5454,"Fruity, waxy, slight rosy, peach-apricot type notes","['apricot', 'rose', 'fruity', 'waxy', 'peach']"
Decyl formate,CCCCCCCCCCOC=O,546,5451-52-5,Light floral with fresh fruity notes,"['fruity', 'fresh', 'floral']"
Decyl isovalerate,CCCCCCCCCCOC(=O)CC(C)C,547,72928-48-4,"Mild, waxy, fruity, somewhat apple, winey, brandy","['apple', 'fruity', 'waxy', 'winey', 'brandy']"
Decyl propionate,CCCCCCCCCCOC(=O)CC,548,5454-19-3,"Fatty, sweet, citrus-aldehydic; cognac-rum notes; musky","['citrus', 'fatty', 'musk', 'aldehydic', 'cognac', 'sweet', 'rum']"
Decylfuran,CCCCCCCCCCc1ccco1,549,83469-85-6,"Spicy, fatty aroma","['fatty', 'spicy']"
Dehydrodihydroionol,CC1=C(CCC(C)O)C(C)(C)CC=C1,550,57069-86-0,"Leathery, green, seashore, orris, mimosa, clary sage, slight musky aroma","['leathery', 'green', 'musk', 'orris']"
Dehydrodihydroionone,CC(=O)CCC1=C(C)C=CCC1(C)C,551,20483-36-7,"Raspberry, waxy, tobacco, rosy, ionone flavor notes","['rose', 'tobacco', 'waxy']"
Dehydroionene,Cc1ccc2c(c1)C=CCC2(C)C,552,30364-38-6,"Petrol hydrocarbon note; woody, somewhat licorice","['woody', 'gasoline']"
Dehydromenthofurolactone,CC1=C2CCC(C)C=C2OC1=O,553,80417-97-6,"Coumarin-like, coconut lactonic; important as a sweet note in mint","['coconut', 'sweet', 'coumarinic', 'mint']"
Di-isoamyl succinate,CC(C)CCOC(=O)CCC(=O)OCCC(C)C,554,818-04-2,"Mild fruity odor, gooseberry-grape winey notes","['fruity', 'grape', 'winey']"
Di-isobutyltrithiolane,CC(C)CC1(CC(C)C)CSSS1,555,92900-67-9,"Roasted, roasted nut, crisp bacon-like and pork rind-like","['roasted', 'nutty']"
Di-isopropyltrithiolane,CC(C)C1(C(C)C)CSSS1,556,54934-99-5,"Garlic fatty-oily, sulfurous aroma; mustard, onion, nutty, cooked seafood","['oily', 'garlic', 'fatty', 'nutty', 'onion', 'sulfurous']"
Diacetyl,CC(=O)C(C)=O,558,431-03-8,"Strong, buttery odor and taste on dilution",['buttery']
Diallyl disulfide,C=CCSSCC=C,559,2179-57-9,"Strong, pungent, Garlic odor and taste","['garlic', 'pungent']"
Diallyl hexasulfide,C=CCSSSSSSCC=C,561,137443-18-6,"Sulfurous; alliaceous garlic, onion, savory, roasted notes","['roasted', 'alliaceous', 'garlic', 'savory', 'onion', 'sulfurous']"
Diallyl pentasulfide,C=CCSSSSSCC=C,562,118686-45-6,"Sulfurous; alliaceous garlic, onion, savory, roasted notes","['roasted', 'alliaceous', 'garlic', 'savory', 'onion', 'sulfurous']"
Diallyl tetrasulfide,C=CCSSSSCC=C,564,2444-49-7,"Sulfurous; alliaceous garlic, onion, savory, roasted notes","['roasted', 'alliaceous', 'garlic', 'savory', 'onion', 'sulfurous']"
Diallyl trisulfide,C=CCSSSCC=C,565,2050-87-5,"Strong garlic-onion odor; savory, roasted notes","['onion', 'garlic', 'roasted', 'savory']"
Dibenzyl ether,c1ccc(COCc2ccccc2)cc1,566,103-50-4,"Faint, sweet, earthy odor; rosy-almond-mushroom notes.","['rose', 'earthy', 'almond', 'sweet', 'mushroom']"
Dibutanoneyl sulfide,CC(=O)CCSCCC(C)=O,567,40790-04-3,"Sulfuraceous, meat-like odor and taste","['sulfurous', 'meaty']"
Dibutyl Butyrolactone,CCCCC1(CCCC)CCC(=O)O1,568,7774-47-2,"Coconut-butter aroma; creamy, nut-like taste","['coconut', 'buttery']"
Dibutyl disulfide,CCCCSSCCCC,569,629-45-8,"Sufurous; allium, green, vegetative and asafetida notes","['vegetable', 'green', 'alliaceous', 'sulfurous']"
Dibutyl malate,CCCCOC(=O)CC(O)C(=O)OCCCC,570,1587-18-4,"Weak fruity, oily-fatty, weak fermented notes","['oily', 'fruity', 'fatty', 'fermented']"
Dibutyl sebacate,CCCCOC(=O)CCCCCCCCC(=O)OCCCC,571,109-43-3,"Nearly odorless yet a faint, fruity odor and taste","['fruity', 'odorless']"
Dibutyl succinate,CCCCOC(=O)CCC(=O)OCCCC,572,141-03-7,Mild  fruity-winey fermented notes,"['fruity', 'winey', 'fermented']"
Dibutyl trisulfide,CCCCSSSCCCC,573,5943-31-7,Cooked onion garlic notes,"['onion', 'garlic']"
Dicyclohexyl disulfide,C1CCC(SSC2CCCCC2)CC1,574,2550-40-5,"Onion, meat, clam, crab, coffee and cocoa; (berry, musty, green @ 1 ppm)","['meaty', 'green', 'cocoa', 'onion', 'coffee', 'berry', 'musty']"
Diethoxybutanone,CCOC(OCC)C(=O)CC,575,51933-13-2,"Ethereal, buttery fruity notes","['fruity', 'ethereal', 'buttery']"
Diethoxymethane,CCOCOCC,577,462-95-3,"Sweet diffusive etheral odor, slight fruity fermented taste","['sweet', 'ethereal']"
Diethoxymethylbutane,CCOC(OCC)C(C)CC,578,3658-94-4,"Ethereal, green, fruity, slightly fermented, apple note","['apple', 'ethereal', 'green', 'fruity', 'fermented']"
Diethoxypropene,C=CC(OCC)OCC,579,3054-95-3,"Somewhat fresh pungent sharp gassy, green fruity","['green', 'fruity', 'gasoline', 'sharp', 'fresh', 'pungent']"
Diethyl adipate,CCOC(=O)CCCCC(=O)OCC,580,141-28-6,"Winey-oily, slightly fruity","['oily', 'fruity', 'winey']"
